,block,conf,level,resp,rt
0,0,conrguent,1,correct,800
1,0,inconrguent,2,correct,574
2,0,conrguent,3,correct,530
3,0,conrguent,4,correct,462
4,0,conrguent,5,correct,432
5,0,inconrguent,6,correct,2583
6,0,conrguent,7,correct,769
7,1,conrguent,1,correct,521
8,1,conrguent,2,correct,762
9,1,conrguent,3,correct,3111
10,1,inconrguent,4,correct,874
11,1,inconrguent,5,correct,800
12,1,inconrguent,6,correct,1151
13,1,conrguent,7,correct,1305
14,2,conrguent,1,correct,728
15,2,conrguent,2,correct,821
16,2,conrguent,3,correct,726
17,2,inconrguent,4,correct,1002
18,2,conrguent,5,correct,3024
19,2,inconrguent,6,toolong,-1
